Death by suicide:
Death by suicide:
Conviction reduced to a murder charge:
Sentence reduced to life:
Sentence reduced to life:
Conviction reduced to a murder charge:
Sentence reduced to life:
Sentence reduced to life:
Sentence reduced to life:
Sentence reduced to life:
Sentence reduced to life:
Sentence reduced to life:
Sentence reduced to life:
Sentence reduced to life:
Sentence reduced to life:
Conviction reversed:
Sentence reduced to life:
Sentence reduced to life:
Sentence reduced to life:
Sentence reduced to life:
Sentence reduced to life:
Died natural causes:
Conviction reduced to a murder charge:
Sentence reduced to life:
Sentence reduced to life:
Died natural causes:
Sentence reduced to life:
Conviction reduced to a murder charge::
Died natural causes:
Conviction reversed:
Conviction reversed:
Sentence reduced to life:
Sentence reduced to life:
Conviction overturned:
Sentence reduced to life:
Sentence reduced to life:
Sentence reduced to life:
Sentence reduced to life:
Sentence reduced to life:
Died natural causes:
Sentence reduced to life:
Sentence reduced to life:
Sentence reduced to life:
Conviction reduced to a murder charge:
Conviction reduced to a murder charge:
Sentence reduced to life:
Conviction reduced to a murder charge:
Conviction reversed:
Sentence reduced to life:
Sentence reduced to life:
Sentence reduced to life:
Died in custody:
Sentence reduced to life:
Sentence reduced to life:
Sentence reduced to life:
Conviction overturned:
Sentence reduced to life:
Sentence reduced to life:
Sentence reduced to life:
Sentence reduced to life:
Sentence reduced to life:
Sentence reduced to life:
Conviction reversed:
Conviction reduced to a murder charge:
Sentence reduced to life:
Sentence reduced to life:
Sentence reduced to life:
Sentence reduced to life:
Conviction overturned:
Sentence reduced to life:
Conviction reversed:
Sentence reduced to life:
Sentence reduced to life:
Conviction reduced to a murder charge:
Conviction reduced to a murder charge:
Sentence reduced to life:
Died natural causes:
Sentence reduced to life:
Sentence reduced to life:
Sentence reduced to life:
Sentence reduced to life:
Sentence reduced to life:
Sentence reduced to life:
Sentence reduced to life:
Conviction reversed:
Sentence reduced to life:
Sentence reduced to life:
Conviction reduced to a murder charge:
Sentence reduced to life:
Sentence reduced to life:
Died natural causes:
Sentence reduced to life:
Conviction reduced to a murder charge:
Sentence reduced to life:
Sentence reduced to life:
Offender attempted an escape from Jefferson County while on bench warrant and was killed:
Conviction reversed:
Died natural causes:
Sentence reduced to life:
Sentence reduced to life:
Sentence reduced to life:
Conviction reduced to a murder charge:
Sentence reduced to life:
Sentence reduced to life:
Sentence reduced to life:
Sentence reduced to life:
Murdered while on death row:
Died natural causes:
Sentence reduced to life:
Conviction overturned:
Conviction reduced to a murder charge:
Sentence reduced to life:
Conviction reversed:
Conviction reduced to a murder charge:
Death by suicide:
Died natural causes:
Sentence reduced to life:
Sentence reduced to life:
Sentence reduced to life:
Sentence reduced to life:
Sentence reduced to life:
Sentence reduced to life:
Died natural causes:
Death by suicide:
Sentence reduced to life:
Sentence reduced to life:
Sentence reduced to life:
Died in custody:
Died natural causes:
"Dismissed, transported to Mexico:"
Sentence reduced to life:
Sentence reduced to life:
Sentence reduced to life:
Sentence reduced to life:
Sentence reduced to life:
Conviction overturned:
Sentence reduced to life:
Conviction overturned:
Acquitted at retrial:
Motion to quash indictment granted:
Sentence reduced to life:
Died natural causes:
Sentence reduced to life:
Sentence reduced to life:
Conviction reversed:
Conviction reversed:
Sentence reduced to life:
Sentence reduced to life:
Conviction reversed:
Sentence reduced to life:
Sentence reduced to life:
Sentence reduced to life:
Died natural causes:
Sentence reduced to life:
Sentence reduced to life:
Sentence reduced to life:
Sentence reduced to life:
Sentence reduced to life:
Sentence reduced to life:
Death by suicide:
Death sentence vacated by US District Court:
Died natural causes:
Sentence reduced to life:
Died natural causes:
Sentence reduced to life:
Sentence reduced to life:
Sentence reduced to life:
Sentence reduced to life:
Sentence reduced to life:
Sentence reduced to life:
Sentence reduced to life:
Sentence reduced to life:
Sentence reduced to life:
Death by suicide:
Sentence reduced to life:
Sentence reduced to life:
Conviction reduced to a murder charge:
Died natural causes:
Conviction overturned:
Conviction reversed:
Sentence reduced to life:
Sentence reduced to life:
Conviction reduced to a murder charge:
Sentence reduced to life:
Sentence reduced to life:
Awaiting new punishment hearing:
Conviction reversed:
Sentence reduced to life:
Conviction reversed:
Sentence reduced to life:
Died natural causes:
Sentence reduced to life:
Conviction reversed:
Sentence reduced to life:
Sentence reduced to life:
